t_index term      df
3383     theyll  1
3384     theyr  4
3385     theyv  2
3386     thick  5
3387     thing  6
3388     think  2
3389     third  14
3390     thirdlargest  1
3391     thirteen  1
3392     thirti  1
3393     thirtynin  2
3394     thirtythre  3
3395     thoma  1
3396     thompson  1
3397     though  6
3398     thought  4
3399     thousand  34
3400     threat  25
3401     threaten  6
3402     three  38
3403     threeday  3
3404     threeset  1
3405     threshold  1
3406     threw  1
3407     thriller  1
3408     thrive  1
3409     throng  2
3410     throughout  3
3411     throw  1
3412     thrown  1
3413     thunder  1
3414     thunderbird  1
3415     thursday  61
3416     thuzz  1
3417     ticket  1
3418     tie  1
3419     tight  1
3420     tighten  3
3421     tighter  2
3422     tim  1
3423     time  57
3424     timelin  2
3425     timet  2
3426     tini  1
3427     tip  5
3428     tire  1
3429     tireless  1
3430     titl  5
3431     tnt  1
3432     tod  2
3433     today  113
3434     todd  3
3435     togeth  6
3436     toi  1
3437     toietnam  1
3438     tokyo  3
3439     told  16
3440     toll  26
3441     tom  4
3442     tomahawk  1
3443     tommi  1
3444     tomorrow  5
3445     ton  4
3446     toni  11
3447     tonig  1
3448     tonight  70
3449     tonugu  1
3450     took  19
3451     tool  3
3452     top  44
3453     toppl  6
3454     topseed  1
3455     torch  1
3456     tore  6
3457     torn  3
3458     torpedo  5
3459     touch  2
3460     tough  4
3461     toughfought  1
3462     tour  3
3463     tournament  8
3464     tow  1
3465     toward  10
3466     tower  2
3467     town  10
3468     track  10
3469     trade  1
3470     trader  2
3471     tradit  2
3472     traffic  4
3473     traffick  1
3474     tragedi  6
3475     tragic  4
3476     trail  1
3477     trailer  1
3478     train  1
3479     tranquil  1
3480     transfer  3
3481     transform  2
3482     transit  2
3483     transmiss  1
3484     transport  5
3485     trap  16
3486     travel  6
3487     treat  2
3488     treatment  5
3489     tremor  5
3490     trend  2
3491     tri  43
3492     trial  16
3493     tribal  1
3494     tribe  2
3495     tribun  1
3496     tribut  2
3497     tricki  1
3498     trickl  2
3499     trigger  2
3500     trip  7
3501     triumph  1
3502     troop  5
3503     trooper  1
3504     troubl  6
3505     troublemak  1
3506     truck  4
3507     truckload  4
3508     true  1
3509     truli  3
3510     truman  1
3511     trust  1
3512     tuesday  62
3513     tumult  1
3514     tumultu  1
3515     tune  1
3516     tuneup  1
3517     tunnel  1
3518     turbul  1
3519     turkey  3
3520     turmoil  1
3521     turn  27
3522     turnout  2
3523     turnov  4
3524     tv  2
3525     twenti  1
3526     twice  1
3527     twinengin  2
3528     twist  2
3529     two  115
3530     twobytwo  1
3531     twohour  1
3532     tyson  1
3533     ultim  1
3534     umpir  1
3535     un  3
3536     unabl  1
3537     unaccountedfor  2
3538     unarm  1
3539     unbias  1
3540     uncertain  1
3541     uncertainti  3
3542     unchalleng  1
3543     unclear  2
3544     underpaid  1
3545     underscor  1
3546     undersea  1
3547     understand  1
3548     undertak  2
3549     underwat  2
3550     underway  1
3551     underworld  1
3552     uner  2
3553     unexpect  2
3554     unexplod  1
3555     unfamiliar  1
3556     unfaz  1
3557     unfinish  1
3558     unfit  2
3559     unflatt  1
3560     unfold  1
3561     unidentifi  2
3562     unifi  2
3563     union  8
3564     unit  55
3565     univers  6
3566     unjustifi  2
3567     unknown  5
3568     unleash  3
3569     unlik  1
3570     unpreced  2
3571     unpredict  2
3572     unrel  1
3573     unresolv  1
3574     unrest  3
3575     unseat  2
3576     unseed  1
3577     unshaken  2
3578     unusu  3
3579     upcom  1
3580     updat  6
3581     upheav  2
3582     upon  1
3583     upris  6
3584     upset  3
3585     upstat  1
3586     urg  12
3587     urgent  3
3588     us  200
3589     usback  4
3590     use  28
3591     uss  150
3592     usual  4
3593     utah  1
3594     va  2
3595     vajpaye  1
3596     valentin  8
3597     valu  1
3598     van  2
3599     varieti  5
3600     variou  1
3601     vast  1
3602     vault  1
3603     veekz  1
3604     vehicl  4
3605     ventur  1
3606     venu  11
3607     verdict  6
3608     verg  2
3609     vers  2
3610     version  1
3611     vessel  9
3612     vestig  2
3613     veteran  4
3614     vicar  1
3615     vice  11
3616     vicepresid  2
3617     vick  1
3618     victim  18
3619     victori  22
3620     video  2
3621     vietnam  36
3622     vietnames  2
3623     view  6
3624     vigil  1
3625     villa  2
3626     villag  6
3627     villanueva  1
3628     vinegar  1
3629     violenc  15
3630     violent  8
3631     virginia  12
3632     viru  1
3633     visibl  2
3634     vision  1
3635     visit  23
3636     vladimir  16
3637     vladimiro  6
3638     voa  32
3639     voic  13
3640     void  2
3641     vojislav  30
3642     volatil  2
3643     volunt  4
3644     vote  16
3645     voter  6
3646     vow  3
3647     vuk  1
3648     vukicev  1
3649     vulner  2
3650     wa  1
3651     wade  1
3652     wage  2
3653     wait  9
3654     wake  8
3655     wakeforest  1
3656     waldo  1
3657     walk  3
3658     walker  2
3659     walkout  2
3660     wall  7
3661     wallac  2
3662     walter  1
3663     want  14
3664     war  22
3665     ward  1
3666     warfar  1
3667     warmest  1
3668     warn  16
3669     warrant  1
3670     warship  21
3671     washington  38
3672     wast  2
3673     watch  6
3674     water  10
3675     water;  1
3676     waterfil  2
3677     wave  3
3678     way  25
3679     wayn  1
3680     weak  1
3681     wealth  1
3682     weapon  4
3683     weaponri  1
3684     wear  3
3685     weari  4
3686     weather  9
3687     weber  1
3688     wednesday  55
3689     week  67
3690     weekend  6
3691     weekli  1
3692     weep  3
3693     welcom  10
3694     well  15
3695     wellknown  1
3696     wellplan  1
3697     went  16
3698     werent  1
3699     west  16
3700     western  20
3701     wet  1
3702     wethi  4
3703     weve  2
3704     whenev  1
3705     whereabout  1
3706     whether  13
3707     whip  1
3708     white  32
3709     whitewash  2
3710     whitewat  4
3711     whole  1
3712     whose  9
3713     wide  6
3714     widen  2
3715     widow  10
3716     wife  7
3717     wild  3
3718     william  38
3719     wilson  2
3720     wimbledon  1
3721     win  22
3722     wind  4
3723     window  3
3724     winner  11
3725     wipe  1
3726     wire  1
3727     wish  4
3728     wit  6
3729     withdraw  1
3730     withhold  1
3731     within  7
3732     without  8
3733     woman  4
3734     women  10
3735     won  8
3736     wonder  2
3737     wont  2
3738     wood  1
3739     woodland  1
3740     word  18
3741     work  26
3742     workaday  1
3743     worker  18
3744     world  48
3745     worldwid  3
3746     worri  5
3747     wors  1
3748     worst  6
3749     worth  1
3750     would  26
3751     wouldnt  2
3752     wound  12
3753     wrack  1
3754     wrap  1
3755     wraparound  1
3756     wreak  1
3757     wreck  7
3758     wreckag  11
3759     write  1
3760     written  3
3761     wrong  3
3762     yard  1
3763     yasser  1
3764     yeah  1
3765     year  75
3766     yearold  17
3767     yellow  1
3768     yemen  98
3769     yemeni  46
3770     yesterday  19
3771     yet  14
3772     yevgeni  2
3773     yield  1
3774     york  15
3775     yorker  1
3776     young  6
3777     youv  2
3778     yugoslav  29
3779     yugoslavia  69
3780     yugoslavian  2
3781     zedek  1
3782     zemin  2
3783     zero  3
3784     zinni  1
3785     zone  4
3786     zoran  1
